-----------
Timer report 0 (3408 timers)
--------------
[0] root 7.12166 100.0% 1 18536020952 2602.8 MFlops 
   [1] EBINS::define 4.22517 59.3% 1 128000    0.0 MFlops 
      [4] EBPoissonOp::define 2.24569 31.5% 2 0    0.0 MFlops 
         [5] get2ndOrderDivFStencil 1.78254 25.0% 131072 0    0.0 MFlops 
                                    [1240] get2ndOrderDivFStencil 0.00034  0.0% 64 0    0.0 MFlops 
                                       [2093] EBGraph::isConnected 0.00004  0.0% 756 0    0.0 MFlops 
                                    [2180] EBPoissonOp::fillkappa 0.00004  0.0% 1 0    0.0 MFlops 
                                       [2357] EBLevelBoxData::exchange 0.00002  0.0% 1 0    0.0 MFlops 
                                          [2360] EBLevelBoxData::exchangeWithGPU 0.00002  0.0% 1 0    0.0 MFlops 
                                             [2565] EBLevelBoxData::copyToHost 0.00001  0.0% 1 0    0.0 MFlops 
                                             [2779] EBLevelBoxData::copyToDevice 0.00000  0.0% 1 0    0.0 MFlops 
                                             [2996] DistributedData constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3296] EBGraph::getIrregVoFs 0.00000  0.0% 1 0    0.0 MFlops 
                                                   [3394] EBGraph::getIrregCells 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3309] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                             [3000] DistributedData::exchange 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3185] BoxPattern::exchange constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3221] DistributedData::communicate 0.00000  0.0% 1 0    0.0 MFlops 
                                                   [3283] DistributedData::doLocalCopies 0.00000  0.0% 1 0    0.0 MFlops 
                                                      [3396] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 1 0    0.0 MFlops 
                                                [3395] CommunicationMetaData constructor 0.00000  0.0% 1 0    0.0 MFlops 
                                       [2715] ebforall 0.00001  0.0% 1 0    0.0 MFlops 
                                          [2721] forallInPlaceBase 0.00001  0.0% 1 0    0.0 MFlops 
                                             [2731] protoForall 0.00001  0.0% 1 0    0.0 MFlops 
                                                [2744] BoxData::makevars 0.00001  0.0% 1 0    0.0 MFlops 
                                                   [2751] indexer 0.00000  0.0% 1 0    0.0 MFlops 
                                       [2827] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                       [3313] EBGraph::getIrregVoFs 0.00000  0.0% 1 0    0.0 MFlops 
                                          [3407] EBGraph::getIrregCells 0.00000  0.0% 1 0    0.0 MFlops 
                                    [2303] HostBoxData::setval 0.00002  0.0% 1 0    0.0 MFlops 
                                    [2537] DistributedData constructor 0.00001  0.0% 3 0    0.0 MFlops 
                                       [3214] EBGraph::getIrregVoFs 0.00000  0.0% 3 0    0.0 MFlops 
                                          [3346] EBGraph::getIrregCells 0.00000  0.0% 3 0    0.0 MFlops 
                                    [3263] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 1 0    0.0 MFlops 
                                    [3274] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3364] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                 [2709] DistributedData constructor 0.00001  0.0% 2 0    0.0 MFlops 
                                    [3268] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
