-----------
Timer report 0 (4883 timers)
--------------
[0] root 5781.94140 100.0% 1 232087953126   40.1 MFlops 
   [1] EBINS::run 5763.85316 99.7% 1 232086570726   40.3 MFlops 
                                                   [1869] protoForall_i 0.30039  0.0% 86400 0    0.0 MFlops 
                                                      [2140] BoxData::makevars_i 0.18143  0.0% 86400 0    0.0 MFlops 
                                                         [2235] indexer_i 0.15098  0.0% 86400 0    0.0 MFlops 
                                                [2427] EBStencil::apply 0.10545  0.0% 86400 4147200   39.3 MFlops 
                                                   [2483] EBStencil::applyITZ 0.09179  0.0% 86400 4147200   45.2 MFlops 
                                                      [2676] AggSten::apply 0.06116  0.0% 86400 4147200   67.8 MFlops 
                                             [2001] ebforall 0.24255  0.0% 86400 0    0.0 MFlops 
                                                [2069] forallInPlaceBase 0.21255  0.0% 86400 0    0.0 MFlops 
                                                   [2105] protoForall 0.19698  0.0% 86400 0    0.0 MFlops 
                                                      [2388] BoxData::makevars 0.11565  0.0% 86400 0    0.0 MFlops 
                                                         [2446] indexer 0.10054  0.0% 86400 0    0.0 MFlops 
                                          [1103] BoxData::setVal 1.40265  0.0% 86400 8640000    6.2 MFlops 
                                             [1111] BoxData::operator 1.38722  0.0% 86400 8640000    6.2 MFlops 
                                                [2798] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.04248  0.0% 86400 0    0.0 MFlops 
                                          [1701] ebforall_i 0.41630  0.0% 86400 0    0.0 MFlops 
                                             [1760] protoForall_i 0.36990  0.0% 86400 0    0.0 MFlops 
                                                [2054] BoxData::makevars_i 0.21862  0.0% 86400 0    0.0 MFlops 
                                                   [2120] indexer_i 0.18932  0.0% 86400 0    0.0 MFlops 
                                    [603] EBPoissonOp::relax 6.75494  0.1% 10800 75686400   11.2 MFlops 
                                       [748] EBPoissonOp::residual 4.00639  0.1% 86400 63244800   15.8 MFlops 
                                          [981] BoxData::setVal 1.94272  0.0% 86400 12441600    6.4 MFlops 
                                             [987] BoxData::operator 1.92739  0.0% 86400 12441600    6.5 MFlops 
                                                [2822] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.03972  0.0% 86400 0    0.0 MFlops 
                                          [1070] EBMultigrid::applyOp 1.56838  0.0% 86400 50803200   32.4 MFlops 
                                             [1431] EBLevelBoxData::exchange 0.67109  0.0% 86400 0    0.0 MFlops 
                                                [1438] EBLevelBoxData::exchangeCPUOnly 0.65795  0.0% 86400 0    0.0 MFlops 
                                                   [1885] DistributedData constructor 0.29321  0.0% 86400 0    0.0 MFlops 
                                                   [2096] DistributedData::exchange 0.20264  0.0% 86400 0    0.0 MFlops 
                                                      [2463] BoxPattern::exchange constructor 0.09659  0.0% 86400 0    0.0 MFlops 
                                                      [2910] DistributedData::communicate 0.03022  0.0% 86400 0    0.0 MFlops 
                                                         [3116] DistributedData::doLocalCopies 0.01579  0.0% 86400 0    0.0 MFlops 
                                                      [3597] CommunicationMetaData constructor 0.00382  0.0% 86400 0    0.0 MFlops 
                                             [1638] ebforall_i 0.46869  0.0% 86400 0    0.0 MFlops 
                                                [1677] protoForall_i 0.43027  0.0% 86400 0    0.0 MFlops 
                                                   [1844] BoxData::makevars_i 0.31075  0.0% 86400 0    0.0 MFlops 
