-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
                                             [3601] EBPoissonOp::getDataOnRefinedCoarseLayout 0.00035  0.0% 2700 0    0.0 MFlops 
                                       [1872] BoxData::setVal 0.07806  0.0% 5400 540000    6.9 MFlops 
                                          [1878] BoxData::operator 0.07731  0.0% 5400 540000    7.0 MFlops 
                                             [3196] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00229  0.0% 5400 0    0.0 MFlops 
                                    [748] EBPoissonOp::prolong 1.18263  0.0% 2700 14515200   12.3 MFlops 
                                       [750] EBPoissonOp::prolong 1.17956  0.0% 2700 14515200   12.3 MFlops 
                                          [756] EBStencil::apply 1.16761  0.0% 43200 14515200   12.4 MFlops 
                                             [873] BoxData::setVal 0.86882  0.0% 43200 6220800    7.2 MFlops 
                                                [875] BoxData::operator 0.86073  0.0% 43200 6220800    7.2 MFlops 
                                                   [2575] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.01844  0.0% 43200 0    0.0 MFlops 
                                             [1752] EBGraph::getIrregVoFs 0.09673  0.0% 43200 0    0.0 MFlops 
                                                [2329] EBGraph::getIrregCells 0.03359  0.0% 43200 0    0.0 MFlops 
                                             [2148] EBStencil::applyITZ 0.04505  0.0% 43200 2073600   46.0 MFlops 
                                                [2379] AggSten::apply 0.03186  0.0% 43200 2073600   65.1 MFlops 
                                             [2548] BoxData::operator+= 0.02005  0.0% 43200 6220800  310.3 MFlops 
                                                [2670] BoxData::operator(BoxData&) 0.01403  0.0% 43200 6220800  443.2 MFlops 
                                    [977] EBPoissonOp::residual 0.62311  0.0% 2700 5078700    8.2 MFlops 
                                       [1203] EBMultigrid::applyOp 0.36451  0.0% 2700 3523500    9.7 MFlops 
                                          [1309] EBLevelBoxData::exchange 0.27529  0.0% 2700 0    0.0 MFlops 
                                             [1312] EBLevelBoxData::exchangeCPUOnly 0.27483  0.0% 2700 0    0.0 MFlops 
                                                [1362] DistributedData::exchange 0.24752  0.0% 2700 0    0.0 MFlops 
                                                   [1421] DistributedData::communicate 0.20926  0.0% 2700 0    0.0 MFlops 
                                                      [1423] DistributedData::doLocalCopies 0.20884  0.0% 2700 0    0.0 MFlops 
                                                         [1425] DistributedData::doLocalCopiesWithCopy 0.20848  0.0% 2700 0    0.0 MFlops 
                                                   [2296] BoxPattern::exchange constructor 0.03497  0.0% 2700 0    0.0 MFlops 
                                                   [3814] CommunicationMetaData constructor 0.00012  0.0% 2700 0    0.0 MFlops 
                                                [2532] DistributedData constructor 0.02073  0.0% 2700 0    0.0 MFlops 
                                          [2083] ebforall_i 0.05180  0.0% 10800 0    0.0 MFlops 
                                             [2129] protoForall_i 0.04718  0.0% 10800 0    0.0 MFlops 
                                                [2314] BoxData::makevars_i 0.03436  0.0% 10800 0    0.0 MFlops 
                                                   [2392] indexer_i 0.03102  0.0% 10800 0    0.0 MFlops 
                                          [2604] EBStencil::apply 0.01706  0.0% 10800 3523500  206.6 MFlops 
                                             [2650] EBStencil::applyITZ 0.01512  0.0% 10800 3523500  233.0 MFlops 
                                                [2739] AggSten::apply 0.01144  0.0% 10800 3523500  308.1 MFlops 
                                       [1409] BoxData::setVal 0.21291  0.0% 10800 1555200    7.3 MFlops 
                                          [1413] BoxData::operator 0.21126  0.0% 10800 1555200    7.4 MFlops 
                                             [3018] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00441  0.0% 10800 0    0.0 MFlops 
                                       [2312] ebforall 0.03437  0.0% 10800 0    0.0 MFlops 
                                          [2385] forallInPlaceBase 0.03130  0.0% 10800 0    0.0 MFlops 
                                             [2416] protoForall 0.02963  0.0% 10800 0    0.0 MFlops 
                                                [2529] BoxData::makevars 0.02082  0.0% 10800 0    0.0 MFlops 
                                                   [2570] indexer 0.01873  0.0% 10800 0    0.0 MFlops 
                                    [1271] BoxData::setVal 0.30630  0.0% 21600 2160000    7.1 MFlops 
                                       [1277] BoxData::operator 0.30325  0.0% 21600 2160000    7.1 MFlops 
                                          [2834] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00891  0.0% 21600 0    0.0 MFlops 
                                    [2586] EBPoissonOp::restrict 0.01831  0.0% 2700 518400   28.3 MFlops 
